Type	File	Dataset	ClusterError	Errors	Score
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/soulparlor, http://dbtune.org/myspace/uid/54409275]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/theyoungers, http://dbtune.org/myspace/uid/49110375]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/102207227, http://dbtune.org/myspace/nouritza]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/135349197, http://dbtune.org/myspace/nicofischer]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/190187668, http://dbtune.org/myspace/sunnydriveby]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/2157063, http://dbtune.org/myspace/sevenpercent]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/300080932, http://dbtune.org/myspace/stadiumstatus85]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/327741801, http://dbtune.org/myspace/carlosbarrososite]	2	1
2(404)	dbtune.org---dbtune.org.nt	dbtune.org	[http://dbtune.org/myspace/uid/45049512, http://dbtune.org/myspace/smittythedon]	2	1
2(404)	dotac.rkbexplorer.com---eprints.rkbexplorer.com.nt	eprs.rkbexplorer.com	[http://eprints.rkbexplorer.com/id/lse/eprints-19849, http://eprints.rkbexplorer.com/id/westminster/eprints-2925]	2	1
2(404)	eprints.rkbexplorer.com---eprints.soton.ac.uk.nt	eprs.rkbexplorer.com	[http://eprints.rkbexplorer.com/id/soton/eprints-74231, http://eprints.rkbexplorer.com/id/soton/eprints-183047]	2	1
2(404)	citeseer.rkbexplorer.com---oai.rkbexplorer.com.nt	oai.rkbexplorer.com	[http://oai.rkbexplorer.com/id/cs1.ist.psu.edu/person-b8792c834003eea68ce1b4e699de9829-7fa251ca0aa2a15de5e9d3d395063902, http://oai.rkbexplorer.com/id/cs1.ist.psu.edu/person-b8792c834003eea68ce1b4e699de9829-50a90f9604d3031633186b354061bbfd]	2	1
2(404)	southampton.rkbexplorer.com---eprints.soton.ac.uk.nt	southampton.rkbexplorer.com	[http://southampton.rkbexplorer.com/id/eprints-14338, http://southampton.rkbexplorer.com/id/eprints-16190]	2	1
2(404)	statistics.data.gov.uk---data.ordnancesurvey.co.uk.nt	statistics.data.gov.uk	[http://statistics.data.gov.uk/id/local-authority-ward/00KFMY, http://statistics.data.gov.uk/id/cas-ward/00KFMY]	2	1
2(500)	linkedgeodata.org---sws.geonames.org.nt	linkedgeodata.org	[http://linkedgeodata.org/triplify/node301247867, http://linkedgeodata.org/triplify/node305588604]	2	1
2(500)	linkedgeodata.org---sws.geonames.org.nt	linkedgeodata.org	[http://linkedgeodata.org/triplify/node356562321, http://linkedgeodata.org/triplify/node356583634]	2	1
2(503)	chem2bio2rdf.org---www4.wiwiss.fu-berlin.de.nt	www4.wiwiss.fu-berlin.de	[http://www4.wiwiss.fu-berlin.de/dailymed/resource/ingredient/4-Methylumbelliferyl_Chitobiose, http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB02759]	2	1
2(Error)	periodicals.dataincubator.org---periodicals.dataincubator.org.nt	periodicals.dataincubator.org	[ http://periodicals.dataincubator.org/issn/0373-7934,http://periodicals.dataincubator.org/journal/acta-cardiologica-supplementum]	2	1
2(Error)	periodicals.dataincubator.org---periodicals.dataincubator.org.nt	periodicals.dataincubator.org	[http://periodicals.dataincubator.org/issn/1068-0640, http://periodicals.dataincubator.org/journal/clinical-pulmonary-medicine]	2	1
